S/N,statement,target,source,text_origin
322,"Àmọ̀rí kọ́ ni ìṣòro ẹgbẹ́ agbábọ́ọ̀lù Manchester United. Ẹ̀san òjóóró tí wọ́n ṣe nígbà tí Alex Ferguson jẹ́ Kóòsì wọn ló ń ké lórí wọn. Bí wọ́n ò bá múra, wọ́n máa religéètì gbẹ̀yìn..",sarcastic,BBC News,original
323,"Erin lákátabú Oriogbade FC, ìyẹn Arsenal, kí ojú aláṣejù Crystal Palace bọ omi gbígbóná láti jókòó rẹ̀pẹ̀tẹ̀ sórí tábìlì EPL.",sarcastic,BBC News,original
324,"Ṣé ọ̀rọ̀ yìí kò ti di ẹni a lè mú làá lẹ̀dí mọ́ báyìí? Níbo ni Oriogbade, ìyẹn Arsenal, fi gbogbo góòlù yìí sí nígbà tí wọ́n kojú Liverpool?",sarcastic,BBC News,original
325,"Ọdún dé, ọdún jọ, ọdún jọ, ọdún dé, ọdún jọ, ọdún jọ o, ará ẹ bá mi yọ̀, ọdún dé o.",non-sarcastic,X,original
326,"Ẹ gbẹ̀mí ẹni tó bá sùn, nítorí ẹni tó bá sùn kò níí sún",sarcastic,Instagram,original
327,"Tí onílé rẹ bá nṣe ìgbéraga sí ẹ, kí o lọ jalè láti rí owó kọ́ ilé tiẹ. Bí o tilẹ̀ jẹ́ wípé wọ́n lè mú ẹ tí o bá ti lọ jalè náà, yóò dójú tí onílé rẹ.",sarcastic,Instagram,original
328,"Dípò kí o ṣègbéyàwó, o lè bẹ̀rẹ̀ síí ṣe aṣẹ́wó nítorí pé o lè rí owó púpọ̀ gbà lọ́wọ́ ìbálòpọ̀ tí ìwọ ì bá ti fún ọkọ rẹ lọ́fẹ̀ẹ́. Bótilẹ̀jẹ́pẹ́ abẹ́ rẹ lè gbóná gaan.",sarcastic,Instagram,original
329,"Tí gbogbo àwọn ẹbíì rẹ bá ń retí pé kí o ṣoríire kí o lè bẹ̀rẹ̀ ìrànlọ́wọ́ fún wọn, ṣe oríibú kí o lè ṣe ìyàlẹ́nu fún wọn.",sarcastic,Instagram,original
330,"Má ṣe fẹ́ ìyàwó tó máa fún ẹ ní Ìfọ̀kànbalẹ̀, nítorí Ìfọ̀kànbalẹ̀ díẹ̀, ogún diẹ la fí ngbé ilé ayé. ",sarcastic,Instagram,original
331,"Tío bá fẹ́ ìyàwó tó sàn lórí, to bá yọ àdá, ìwọ náà á yọ ọ̀bẹ. Báyìí ní ìgbéyàwó yín yóò fi máa dùn, bótilẹ̀jẹ́pẹ́ ẹnìkan lè pa ẹnìkejì lọ́jọ́ kan",sarcastic,Instagram,original
332,"Tí ìyàwó rẹ bá ń ṣe àgbèrè, kí ìwọ náà lọ ṣé àgbèrè ni. Bó tilẹ̀ jẹ́ pé ẹ̀yin méjèèjì lè kó ààrùn, ó sàn kí o kí ẹ kú papọ̀ kí o sì mọ̀ pé o ti gbẹ̀san.",sarcastic,Instagram,original
333,"Má ṣe fi ìyàwó rẹ sílẹ̀ nítorí pé ó ń ṣe àgbèrè. Ó ṣeé ṣe kí ó jẹ́ ọ̀kan lára àwọn tí ó ń ṣẹ́ àgbèrè pẹ̀lú ní yóò ràn ọ́ lọ́wọ́ nígbẹ̀yìn-gbẹ́yín, bó tilẹ̀ jẹ́ pé o lè máa tọ́jú àkóràn.",sarcastic,Instagram,original
334,"Tí àwọn ẹbí bá ń béèrè owó lọ́wọ́ rẹ ju bó ṣe yẹ lọ, tí wọ́n sì ń gbèrò láti pa ọ́, jẹ́ kí wọ́n tẹ̀síwájú. Bó tilẹ̀ jẹ́ pé o máa di aláìní, ẹlẹ́dàá rẹ yóò fìyà jẹ wọ́n.",sarcastic,Instagram,original
335,"Tí o bá ní ọ̀rẹ́bìnrin kan tí ó ń tì ọ́ lẹ́yìn nígbà tí o kò jẹ́ ọlọ́rọ̀, fi sílẹ̀ nígbàkúgbà tí o bá di ọlọ́rọ̀, kí ọ̀rẹ́bìnrin náà lè lọ ran ọkùnrin mìíràn tí kò tíì di ọlọ́rọ̀ lọ́wọ́.",sarcastic,Instagram,original
336,"Tí ọ̀rẹ́kùnrin rẹ bá fẹ́ fi ọ́ sílẹ̀, o yẹ kí o pa ara rẹ kí o lè ba orúkọ rẹ̀ jẹ́. Èyí yóò kọ́ọ ní ẹ̀kọ́, bó tilẹ̀ jẹ́ pé  ìwọ́ á ti ṣòfò dànù.",sarcastic,Instagram,original
337,"Tí ọmọbìnrin bá fi ọ́ sílẹ̀, ohun tó dára jù fún ọ ni kí o má ṣe tẹ̀síwájú, nítorí náà kò ní rò pé ó gbọ́n ju ọ lọ.",sarcastic,Instagram,original
338,"Tí ẹnìkan bá fẹ̀sùn kàn ọ́ pé o bá wọn pẹ̀lú ṣe adigunjalè, ohun tó dára jù ni pé kí o má ṣe sẹ́. Tí o bá sẹ́, tí wọ́n sì dá ọ sílẹ̀, àwọn ènìyàn kan yóò rò pé ẹ̀rù ń bà ọ́ láti ṣe ẹ̀wọ̀n ni.",sarcastic,Instagram,original
339,"Ọkùnrin mi, fi ara rẹ sílẹ̀ nígbàkúgbà tí o bá rẹ̀wẹ̀sì. Nígbà tí o bá juwọ́ sílẹ̀, ó dájú pé o máa di ẹrú, ṣùgbọ́n ó sàn ju gbígbé ẹrù ìdílé lọ.",sarcastic,Instagram,original
340,"Tí ọmọbìnrin bá fi ọ́ sílẹ̀, ohun tó dára jù fún ọ ni kí o pa ara rẹ. Ẹlẹ́dàá rẹ lè fìyà jẹ ẹ́, bó tilẹ̀ jẹ́ pé ìwọ á ti kú.",sarcastic,Instagram,original
341,"Tí èèyàn bá gbà ọ́ nímọ̀ràn pé kí o má mu igbo, má ṣe dá a lóhùn nítorí pé ó máa ń pa ìrònú rẹ́. Bó tilẹ̀ jẹ́ pé o lè má pẹ́ láyé, ó sàn kí o kú láìpẹ́ ju kí o máa gbé pẹ̀lú ìrònú lọ.",sarcastic,Instagram,original
342,"Tí àwọn ajínigbé bá jí ọ gbé, má ṣe sá lọ, máa wàásù fún wọn ni, bó tilẹ̀ jẹ́ pé wọ́n lè pa ọ́, ṣùgbọ́n orí rẹ yóò fìyà jẹ wọ́n.",sarcastic,Instagram,original
343,"Tí èèyàn bá ṣe ẹ́ lóore, fí ibi sán fún padà; fífi òòrè san oore ti wọ́pọ̀ jù, ibi ló lè jọ olóore rẹ lójú.",sarcastic,Instagram,original
344,"Nígbà tí o bá ti mọ̀ pé ọ̀rẹ́kùnrin rẹ ń gbìyànjú láti fi ọ́ sílẹ̀, lóyún fún kí o fí dèé mọ́lẹ̀",sarcastic,Instagram,original
345,"Mo ńṣe ìlérí fún ọ pé nígbàkúgbà tí mo bá fẹ́ ọ, n kò ní ṣe panṣágà. Dípò kí n ṣe panṣágà, màá fẹ́ ẹlòmíràn kún ọ tí ó lè gbọ́ bùkátà àwa méjèèjì.",sarcastic,Instagram,original
346,"Tí o bá ṣe àṣìṣe fi owó ránṣẹ́ sí ẹnìkan, fi owó púpọ̀ ránṣẹ́ síí fún ẹni náà. Báyìí, àwọn agbófinró yóò mú oníjìbìtì náà nítorí kò níí lè ṣàlàyé ibi tí owó náà ti wá.",sarcastic,Instagram,original
347,"Gẹ́gẹ́ bí agbófinró, ó yẹ kí ìwọ́ náà wà nínú igbó láti fí ṣe àfihàn wípé ẹ mọ iṣẹ gẹ́gẹ́bí àwọn ọmọ ogun Nàìjíríà. Bó tilẹ̀ jẹ́ pé wọ́n lè pa ọ́, o mọ̀ pé o ti ṣiṣẹ́ fún orílẹ̀-èdè rẹ, o sì ti di akọni orílẹ̀-èdè.",sarcastic,Instagram,original
348,"Tí ọkọ rẹ bá ń tọ́jú rẹ àti gbogbo àìní rẹ dáadáa ṣùgbọ́n tí kò kìí sọ fún ọ wípé òún ní ìfẹ́ẹ̀ rẹ lọ́pọ̀lọpọ̀ ìgbà, o yẹ kí o kọ̀ọ́ sílẹ̀ kí o sì máa pààrọ̀ rẹ̀ títí di orí ọkọ keje, bó tilẹ̀ jẹ́ pé ìdí rẹ lè gbóná.",sarcastic,Instagram,original
349,"Tí o bá fẹ́ pẹ́ láyé, ó yẹ kí o máa jẹ gbèsè káàkiri, wọn kò níí fẹ́ kí o kú, bó tilẹ̀ jẹ́ pé orúkọ rere rẹ yóò ti bàjẹ́.",sarcastic,Instagram,original
350,"Bí ọkọ rẹ bá ń lù ọ́, o kò nílò láti fi ìgbéyàwó náà sílẹ̀ nítorí àwọn ènìyàn yóò gbàgbọ́ pé o kò ní ìfaradà, bó tilẹ̀ jẹ́ pé ó lè pa ọ́ ní ọjọ́ kan.",sarcastic,Instagram,original
351,"Tí ẹni tí o jẹ lówó bá ndà ẹ láàmú , kú sí l'ọ́rùn ni.  Bó tilẹ̀ jẹ́ pé ìwọ́ ti kú, o ti fi ikú rẹ kó báa nìyẹn",sarcastic,Instagram,original
352,"Tí o bá fi owó ránṣẹ́ sí àkọọ́lẹ̀ báńkì tí kò tọ́, dípò kí o gbìyànjú láti gbà á, ó yẹ kí o fi owó púpọ̀ sí àkọọ́lẹ̀ wọn kí àwọn ọlọ́pàá lè mú wọn. Bó tilẹ̀ jẹ́ pé o máa jẹ gbèsè, o ti kọ́ wọn láti má ṣe da owó ẹlòmíràn mọ́ tiwọn.",sarcastic,Instagram,original
353,"Má ṣe pàdánù ọ̀rẹ́kùnrin rẹ àtijọ́ nítorí pé o ti ṣe ìgbéyàwó báyìí. Tí ọkọ rẹ kò bá fẹ́ kí ó rí bẹ́ẹ̀, o yẹ kí o kọ̀ọ́ sílẹ̀.",sarcastic,Instagram,original
354,"Tí ẹnìkan bá fẹ́ fi ọtí ba ayé rẹ jẹ́, fi ọtí sílẹ̀ kí o sì bẹ̀rẹ̀ síí ta tẹ́tẹ́. Bó tilẹ̀ jẹ́ pé tẹ́tẹ́ náà lè pa ọ́ run, ṣùgbọ́n ìwọ yóò ní ìgbéraga pé ìwọ fúnra rẹ ni o pa ayé rẹ run, tí onítọ̀hún kò níí lè fọ́nnu nípa pípa ọ́ run.",sarcastic,Instagram,original
355,"Má ṣe fi ìyàwó rẹ sílẹ̀ nítorí pé ọkùnrin mìíràn fún-un lóyún, nítorí ó ṣeé ṣe kó jé wípé ọmọ àlè tí ó bí ló máa mú àṣeyọrí wá sí iléè rẹ.",sarcastic,Instagram,original
356,"Má ṣe jẹ́ kí ẹnikẹ́ni dẹ́rù bà ọ́ nítorí pé ọmọ ogun ni wọ́n. Gbogbo ọmọ ogun tó bá gbá ọ létí, rí i dájú pé o gbá tìrẹ. Bó tilẹ̀ jẹ́ pé ó lè kọlù ọ́ kí ó sì fi ọ̀bẹ pa ọ́, ìwọ yóò fi ìyẹn kóbá onítọ̀hún.",sarcastic,Instagram,original
357,"Tí wọ́n bá mú ọ nígbà tí o ńjalè, o kò ní láti bẹ̀rù nítorí pé ó máa dàbí ọ̀lẹ ni. Bó tilẹ̀ jẹ́ pé wọ́n lè ti lù ọ́ ní àlùbàjẹ́, ó fi agbára rẹ hàn ni.",sarcastic,Instagram,original
358,"Tí o bá bí ọmọ tí kò sì fẹ́ lọ sílé ìwé, má ṣe fipá mú un. Tí ó bá sọ pé òun nífẹ̀ẹ́ sí olè jíjà, o lè ràn án lọ́wọ́ láti rí àwọn ohun èlò olè jíjà, bó tilẹ̀ jẹ́ pé wọ́n lè paá lọ́jọ́ kan.",sarcastic,Instagram,original
359,"Dípò kí o máa jó láti polówó fíìmù rẹ fún àwọn olólùfẹ́ rẹ, o lè lọ jalè. Tí wọ́n bá mú ọ, àwọn olólùfẹ́ rẹ lè ṣàánú rẹ kí wọ́n sì wo fíìmù rẹ nígbẹ̀yìn-gbẹ́yín, bó tilẹ̀ jẹ́ pé àwọn èèyàn lè ti lù ọ́ bàjẹ́.",sarcastic,Instagram,original
360,"Tí ọkọ rẹ bá ń gbìyànjú láti mú kí ìgbésí ayé rọrùn fún ọ nílé, o ní láti kọ̀ ọ́ sílẹ̀ kí àwọn ọmọ rẹ lè kó àwọn ìrírí tó báramu jọ, bó tilẹ̀ jẹ́ pé o lè kú nítorí wàhálà",sarcastic,Instagram,original
361,"Tí agbófinró Nàìjíríà kan bá sọ fún ọ pé kí o ṣí fóònù rẹ, má ṣe dá a lóhùn. Bí ó tilẹ̀ fẹ́ pa ọ́, o kàn máa kú lẹ́ẹ̀kan ṣoṣo, bó tilẹ̀ jẹ́ pé ẹ̀mí rẹ yóò ti ṣòfò.",sarcastic,Instagram,original
362,"Ó sàn kí a kú nípò akọni ju kí a gbé ìgbésí ayé ojo, bó tilẹ̀ jẹ́ pé ẹ̀mí ènìyàn náà  á ti ṣòfò.",sarcastic,Instagram,original
363,"Nítorí wípé ìyàwó Ned Nwoko n mu igbó, kò túmọ sí wípé ọmọ burúkú ni. Ó lè jẹ́ igbó tí ìyàwó náà ni mu ni àwọn èèyàn yóò fi máa wárí fún Ned Nwoko, bó tilẹ̀ jẹ́ wípé igbó lè ya obìnrin náà ní wèrè",sarcastic,Instagram,original
364,"Bó tilẹ̀ jẹ́ pé ọkọ rẹ̀ ń lùú, ẹ bá Regina Daniels sọ̀rọ̀ láti padà sí ilé ọkọ rẹ̀; kò nílò láti lọ nítorí lílù díẹ̀díẹ̀ tó ti lè kọ́ ẹ̀kọ́, bó tilẹ̀ jẹ́ wípé wọ́n lè lùú pa lọ́jọ́ kan.",sarcastic,Instagram,original
365,Ó sàn kí èèyàn sunkún nínú ọkọ̀ Lamborghini ju kí ó máa rẹ́ẹ̀rín nínú kẹ̀kẹ́ Márúwá,sarcastic,Instagram,original
366,"Tí o bá ní ọ̀rẹ́ kan tó fẹ́ kọ́ ọ bí o ṣe ń pa ẹja, má ṣe dáa lóhùn. Nítorí pé ó sàn kí ó máa fún ọ ní ẹja jẹ ju kí ó kọ́ ọ bí o ṣe ń pẹja lọ, nítorí pé odò lè gbé ọ lọ.",sarcastic,Instagram,original
367,"Àwọn tó ń ràn ọ́ lọ́wọ́ tẹ́lẹ̀ kò ní fẹ́ ràn ọ́ lọ́wọ́ mọ́ lẹ́sẹ̀kẹsẹ̀ tí wọ́n bá mọ̀ pé o ń ṣiṣẹ̀ owó, nítorí náà ó sàn kí o fikún iye àwọn ènìyàn tí o ń tọrọ owó lọ́wọ́ọ wọn sí i dípò kí o ṣiṣẹ́, bó tilẹ̀ jẹ́ pé o lè má ṣe àṣeyọrí ní ìgbésí ayé rẹ.",sarcastic,Instagram,original
368,"Tí ẹnìkan bá fẹ́ pa ọ́ nípa fífi májèlé sínú oúnjẹ́ rẹ, má ṣe yára wá ẹ̀rọ tàbí kí o gbìyànjú láti dé ilé ìwòsàn kíákíá, nítorí pé àwọn èèyàn yóò lérò wípé o bẹ̀rù ikú ni",sarcastic,Instagram,original
369,"Tí ẹnìkan bá ń gbà ọ́ nímọ̀ràn pé kí o má ṣe kánjú ní ìgbésí ayé, má ṣe dá a lóhùn, nítorí pé tí o kò bá yára ṣe nǹkan, kódà nípa ṣíṣe nǹkan búburú, o lè má ṣe àṣeyọrí ní àkókò.",sarcastic,Instagram,original
370,"Ohunkóhun tí àwọn ọ̀rẹ́ rẹ bá ń ṣe láti rí owó, kódà bí wọ́n bá ń jalè, lọ ṣe. Tí o kò bá ṣe àwọn nǹkan wọ̀nyí, wọn yóò gbàgbọ́ pé ojo ni ọ́, bó tilẹ̀ jẹ́ pé o lè ya wèrè, ṣùgbọ́n ìwọ pẹ̀lú àwọn ọ̀rẹ́ rẹ á jọ ṣe wèrè ni.",sarcastic,Instagram,original
371,"Owó tí o bá fẹ́ lò láti tún fóònù àtijọ́ ṣe, o lè lòó fún òògùn owó. Ohun tó burú jù tí o lè rí ni kí o ya wèrè, ṣùgbọ́n o máa rí owó, oó sì máa ń gbé ìgbésí ayé ọlọ́lá",sarcastic,Instagram,original
372,"Tí o bá wọ inú ìdèkùn kan tí wọ́n sì jí ọ gbé, má ṣe pe àwọn olùrànlọ́wọ́ rẹ ju ìgbà méjì lọ nítorí pé wọ́n ti kọ́ ọ láti pe lẹ́ẹ̀mejì péré, kí o má baà hùwà bí aláìmọ̀wé nígbà tí o bá ń wá ìrànlọ́wọ́ láti san owó ìràpadà rẹ kí wọ́n lè dá ọ sílẹ̀.",sarcastic,Instagram,original
373,"Tí agbófinró Nàìjíríà kan bá mú ọ níbi tí wọ́n ti ń ta igbó, má bẹ̀bẹ̀, má sì sá lọ. Ó lè rò pé ẹ̀rù ń bà ọ́ láti wà ní àtìmọ́lé, bó tilẹ̀ jẹ́ pé ìgbésí ayé rẹ lè dàrú.",sarcastic,Instagram,original
374,"Tí ẹnìkan bá gbìyànjú láti pa ọ́ tí o sì sá àsálà, má ṣe gbé ẹni náà lọ sí àgọ́ ọlọ́pàá tàbí kí o fi ẹ̀sùn kàn-án nílé ẹjọ́. Bó tilẹ̀ jẹ́ pé ó lè padà pa ọ́ nígbà tó bá yá, ṣùgbọ́n ìwọ á ti fi ikú rẹ ṣe àkóbá fún ẹni náà.",sarcastic,Instagram,original
375,"Tí agbófinró Nàìjíríà kan bá sọ fún ọ pé kí o ṣí fóònù rẹ, má ṣe dá a lóhùn. Bí ó tilẹ̀ fẹ́ pa ọ́, o kàn máa kú lẹ́ẹ̀kan ṣoṣo, bó tilẹ̀ jẹ́ pé ẹ̀mí rẹ yóò ti ṣòfò.",sarcastic,Instagram,original
376,"Tí o bá ń ṣiṣẹ́ pọ̀ pẹ̀lú ọ̀rẹ́ rẹ láti lè ní láárí, tí ó sì ń rí owó ju ọ́ lọ, ó sàn kí ọ sa òògùn síi, bó tilẹ̀ jẹ́ wípé ẹ̀yin méjèèjì lè di èrò ẹ̀yìn papọ̀, kí ẹ sì jọ máa tọrọ jẹ.",sarcastic,Instagram,original
377,"Ó yẹ kí o fẹ́ ọmọ aláìníbaba kí o má baà san owó orí rẹ̀, bó tilẹ̀ jẹ́ pé ó lè sá lọ pẹ̀lú àwọn ohun ìní rẹ lọ́jọ́ kan tí o kò sì ní mọ ibi tí óo wa sí, ṣùgbọ́n nípa gbígbé ìgbésẹ̀ irúfẹ́ yi la fí ngbé ilé ayé.",sarcastic,Instagram,original
378,"Má tí torí pé o jẹ́ obìnrin kí o jòkó ti ọkùnrin ẹyọ̀kan. Ti ọkùnrin bá ní ànfààní láti fẹlẹ́ ìyàwó méjì, iwọ náà lè fẹ́ ọkọ méjì ti wàá sì máa darí wọn, bó tilẹ̀ jẹ́ wípé ìdí rẹ yóò gbóná",sarcastic,Instagram,original
379,"Tí o bá ti ń gbìyànjú gbogbo agbára rẹ tí o kò sì tíì ríṣe, má ṣe gbìyànjú tàbí bẹ Ọlọ́run rẹ mọ́, lọ jalè dípò bẹ́ẹ̀. Bó tilẹ̀ jẹ́ pé wọ́n lè mú ọ kí wọ́n sì pa ọ́ níbi to ti lọ jalè, ṣùgbọ́n àwọn tí ó yẹ kí wọ́n ràn ọ́ lọ́wọ́ tí wọ́n kùnà lojú yóò tì.",sarcastic,Instagram,original
380,"Tí o bá rí ènìyàn méjì tí wọ́n ń jà pẹ̀lú ohun ìjà bí igi, má ṣe fojú fo wọ́n, gbìyànjú láti là wọ́n. Bó tilẹ̀ jẹ́ pé wọ́n lè fọ́ igi mọ́ ẹ lórí tí òo sì gbabẹ̀ kú, wàá rí ẹ̀san gbà lọ́dọ̀ Ọlọ́run",sarcastic,Instagram,original
381,"Tí o bá ń ṣiyèméjì bóyá ọ̀rẹ́kùnrin rẹ fẹ́ràn rẹ tàbí bẹ́ẹ̀ kọ́, lóyún fún un kí o lè dán-an wò, kò sì ní lè fara pamọ́ mọ́. Bó tilẹ̀ jẹ́ pé tí kò bá gbà, o lè jìyà kí o sì dá ọmọ tọ́, ṣùgbọ́n o ti mọ irú èèyàn tó jẹ́ báyẹn",sarcastic,Instagram,original
382,"Kò sí bí owó tí o ń rí ní òkè òkun bá ṣe pé tó, má fi owó pamọ́ tàbí kí o ná owó lórí ara rẹ. Na gbogbo owó yẹn lórí àwọn ẹbí rẹ kí àwọn èèyàn má lè fiwọ́n ṣe yẹ̀yẹ́, bó tilẹ̀ jẹ́ pé o lè di aláìní kí o máa tọrọ jẹun.",sarcastic,Instagram,original
383,"Nígbà tí o bá ti mọ̀ pé àwọn ẹ̀gbọ́n tàbí àbúrò rẹ ń gbìyànjú láti gbé orúkọ ìdílé yín ga, gbìyànjú láti ba orúkọ ìdílé jẹ́. Nítorí pé bí gbogbo yín bá ń ṣe oríire ní àkókò kan náà, ìdíje lè pọ̀ jù.",sarcastic,Instagram,original
384,"Tí o bá jẹ́rìí sí apànìyàn kan nílé ẹjọ́, tí ó sì ṣẹ́gun nígbẹ̀yìn-gbẹ́yín, má ṣe sá kúrò ní ìlú. Bó tilẹ̀ jẹ́ pé ó lè pa ọ́ tí o kò bá sá lọ, ó ti kó báa báyẹn.",sarcastic,Instagram,original
385,"Tí o bá rí i pé ọkàn àwọn òbí rẹ ti ń balẹ̀ jù, máa mu igbó díẹ̀ díẹ̀ kí o lè máa gbé ẹ̀mí wọn gbóná. Ìbànújẹ díẹ̀ ayọ̀ díẹ̀ lèèyán fi nlo ilé ayé, bó tilẹ̀ jẹ́ pé igbó náà lè padà yà ọ́ ní wèrè.",sarcastic,Instagram,original
386,"Tí o bá ṣe ìgbéyàwó tí ọkọ rẹ bẹ̀rẹ̀ síí ṣe àgbèrè, má ṣe fi ìgbéyàwó náà sílẹ̀ ṣùgbọ́n kí o lọ ṣe ìwọ náà máa ṣe àgbèrè láti gbẹ̀san, bó tilẹ̀ jẹ́ pé ẹ̀yin méjèèjì lè padà kó àkóràn nígbà tó bá yá.",sarcastic,Instagram,original
387,"Tí o bá bímọ fún ọkùnrin kan tí kò sì gbà á, ṣùgbọ́n tí o padà wá nígbà tí ọmọ náà bá dàgbà, lóyún fún lẹ́ẹ̀kan síi kí o lè fi í ṣe ẹlẹ́yà, nítorí pé kò sí obìnrin tí yóò fẹ́ fẹ́ẹ mọ́, bó tilẹ̀ jẹ́ pé o lè dá àwọn ọmọ náà tọ́.",sarcastic,Instagram,original
388,"Gẹ́gẹ́ bi ọkùnrin, àwọn ọkùnrin ẹgbẹ́ẹ̀ rẹ ló yẹ kó máa gbé kí wọ́n lè máa fún ọ lówó lẹ́yìn ìbálòpọ̀, bó tilẹ̀ jẹ́pé ìdí rẹ yóò bàjẹ́",sarcastic,Instagram,original
389,"Tí o bá bímọ tó ńjalè, má bawí má sì tú àṣírí rẹ̀ síta. Bo tilẹ̀ jẹ́ wípé ó lè já olè náà títí tí wọ́n yóò fi pá dànù, o dará ju kí o tú àṣírí rẹ̀ síta",sarcastic,Instagram,original
390,"Má sọ pé o kò níí fẹ́ obìnrin nítorí pé ó ti lọ ilé ọkọ bíi mẹ́rin tẹ́lẹ̀, nítorí o lè jẹ́ ìwọ ni ẹni tí a kọ papọ̀ fún láti ọ̀run",sarcastic,Instagram,original
391,"Tí ẹnìkan bá jí ọ gbé tí o sì ní àǹfààní láti sá àsálà, o kò gbọdọ̀ sá àsálà. Fojú inú wo gbogbo wàhálà tí ẹni tí ó jí ọ gbé ti ṣe kí ó tó lè jí ọ gbé.",sarcastic,Instagram,original
392,"Tí o bá fẹ́ ṣe ìgbéyàwó, tí o sì ń ṣiyèméjì bóyá ó yẹ kí o fẹ́ ọ̀rẹ́kùnrin rẹ tí ó máa ń lù ọ́ ní gbogbo ìgbà tàbí kí o má fẹ, ó yẹ kí o fẹ́ẹ, bí bẹ́ẹ̀ kọ́, o lè máa dá ara rẹ lẹ́bi pé o kò fún un ní àǹfààní láti ṣàyẹ̀wò bóyá ó lè yípadà.",sarcastic,Instagram,original
393,"Tí o bá fẹ́ ọ̀rẹ́kùnrin rẹ tó máa ń lù ọ́ ní gbogbo ìgbà, ó sàn fún ọ nítorí pé ìwọ yóò ní ìrírí púpọ̀ sí i, wàá sì lè pín wọn pẹ̀lú àwọn ọmọ ìyáà rẹ.",sarcastic,Instagram,original
394,"Tí olé bá njà ni àdúgbò yín lóòrèkóòrè, ẹ má ṣe pè agbófinró, nítorí tí àwọn olè náà bá ní ọ̀nà míràn ni, wọn kò ní máa jalè.",sarcastic,Instagram,original
395,"Tí o bá kíyèsí wípé ọ̀rẹ́bìnrin rẹ kò fẹ́ràn rẹ, tí ó sì wà pẹ̀lú rẹ nítorí owó, má ṣe fií sílẹ̀, nítorí ó máa rò pé o ti òún ti búrẹ́dì kó ẹ lọ́bẹ̀ jẹ, bó tilẹ̀ jẹ́ pé o lè padà ma lówó lọ́wọ́ mọ́ nígbẹ̀yìn-gbẹ́yín.",sarcastic,Instagram,original
396,"Tí o bá ti nrí oúnjẹ jẹ ní àkókò, má ṣe dààmú láti rí owó nítorí pé ìdààmú lásán ní àti wípé bí àwọn ẹbí rẹ bá ríi pé o ní owó, wọn yóò máa wá bá ọ fún owó, bó tilẹ̀ jẹ́ pé o lè padà wọnú ìṣẹ́ lẹ́yìn náà.",sarcastic,Instagram,original
397,"Má tí torí wípé o wà nínú ìgbéyàwó kí o fàyà gba ọrọ láti ọ̀dọ ọkọ rẹ lóòrèkóòrè, kí o máa kúrò nílé ọkọ ló dára, títí yóò fi tẹ́ ọ lọ́rùn",sarcastic,Instagram,original
398,"Ẹ̀yin ti Morocco, ẹ fi aṣo ìnujú wa tí ẹ mú nu omijé bí ẹ ti wo lulẹ̀ ní ìpele àṣekágbá ìdíje AFCON lọ́jọ́ Àìkú",sarcastic,Facebook,original
399,"Aṣọ ò bá ọmọ́yẹ Super Eagles mọ́, ikọ̀ agbábọ́ọ̀lù Nàìjíríà ti rìn wọjà, DR Congo lo tì wọ́n dànù lójú ònà àti pegedé fún ìdíje Ìfe Èyẹ Àgbáyé 2026",sarcastic,BBC News,original
400,"Tí wọ́n bá ṣe atọ́nà fún àwọn ọmọ tó ń ṣe ""Yahoo"", wọ́n máa wúlò láti mú ìgbéga bá orílẹ̀ èdè.",sarcastic,BBC News,original
401,Ẹni tó kékọ̀ọ́ gboyè fásitì sàn ju bàbá olówó tí kò kàwé lọ,sarcastic,BBC News,original
402,Mo fi àkókò yí rọ gbogbo àwọn alátìlẹ́yìn Manchester United láti jẹ oúnjẹ alẹ́ wọn kí wọ́n tó lọ wo eré bọ́ọ̀lù náà. Nítorí iṣu Manchester United ma sùn sínú epo Liverpool lónìí,sarcastic,BBC News,original
403,"Ẹ̀dá ò láròpin! Anfààní Àdúgbò FC, ìyẹn Manchester United, táyé ti sọ irètí nù lórí wọn lu Liverpool lálùmólè bí àpò ẹ̀wà",sarcastic,BBC News,original
404,"Arsenal Erin lákátabú Oriogbade FC ti gòkè àlọ̀, Fulham ni wọ́n fi șe ìrúbọ àti gorí tábìlì EPL",sarcastic,BBC News,original
405,"Lórí erinlákátabú Arsenal tó ń pa kúkúrú, tó ń pa gúngùn ninu EPL yìí, Bàbá gba ọpẹ́ wa",sarcastic,BBC News,original
406,"Lẹ́yìn ìṣẹ́jú mókànlélógún ifesewonse pẹ̀lú Chelsea, ẹgbẹ́ agbábọ́ọ̀lù Nottingham Forest fi ọwọ́ òsì júwe ilé fún Ange Postecoglou bíi akọ́nimọ̀ọ́gbá",sarcastic,BBC News,original
407,"Àwọn ọmọ ìyá aláró, ìyẹn Chelsea, fẹ́ràn káàdì pùpá púpọ̀ 😂😂",sarcastic,Facebook,original
408,"Ẹ̀jẹ̀ lẹ́nu ọ̀daràn, Aníyìkáyé, ìyẹn Chelsea, fún Nottingham Forest lọ́rùn pa bí ó tilẹ̀ jẹ́ pé wọ́n Șépè káàdì pupa fún wọn",sarcastic,BBC News,original
409,"Hmmm, Oshimen fakọyọ ṣùgbọ́n ẹni tí a lè mú ní à ń lẹ̀dí mọ́ ló bá dé ní pápá ìṣeré Uyo lálẹ́ yìí pẹ̀lú Benin Republic ",sarcastic,BBC News,original
